Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-12-07 13:54:00,0.0,0.0,3.50096,-5.99956,-8.41268,-0.09998,0.0,0.0,0.21641331427102395,0
2018-12-07 13:55:00,0.9998833333336127,59.993000000016764,3.55305,-5.997,-7.3611,-0.19997,0.01666472222222688,-0.09993833916669459,0.1773921247309793,60
2018-12-07 13:56:00,1.9998666666666396,119.99199999999837,3.56519,-5.99956,-6.62499,-0.29994,0.01666638888888378,-0.19992933928888618,0.13835037358121666,120
2018-12-07 13:57:00,2.9998666666666396,179.99199999999837,3.55473,-5.997,-6.20435,-0.39992,0.016666666666666666,-0.29987933928888616,0.09932463103788618,180
2018-12-07 13:58:00,3.999883333333613,239.99300000001676,3.52793,-5.997,-5.88888,-0.4999,0.016666944444449553,-0.3998310051222501,0.060298238065501344,240
2018-12-07 13:59:00,4.999933333333562,299.99600000001374,3.48967,-5.99956,-5.67856,-0.59988,0.01666749999999916,-0.4998286714222451,0.021253884088938288,300
2018-12-07 14:00:00,5.999900000000101,359.99400000000605,3.44332,-5.997,-5.36309,-0.69986,0.016666111111108977,-0.5997753397555656,0.0,360
2018-12-07 14:01:00,6.999933333333562,419.99600000001374,3.39309,-5.99956,-5.15277,-0.79984,0.016667222222224356,-0.699771339511134,0.0,420
2018-12-07 14:02:00,7.999933333333562,479.99600000001374,3.341,-5.99956,-4.94245,-0.89982,0.016666666666666666,-0.7997640061778006,0.0,480
2018-12-07 14:03:00,8.999883333333612,539.9930000000168,3.28723,-5.99956,-4.73213,-0.9998,0.016665833333334174,-0.899751673211139,0.0,540
2018-12-07 14:04:00,9.99986666666664,599.9919999999984,3.23296,-5.99956,-4.52182,-1.09977,0.01666638888888378,-0.9997426733333306,0.0,600
2018-12-07 14:05:00,11.00004999999995,660.002999999997,3.17784,-5.99956,-4.3115,-1.19975,0.016669722222221833,-1.0997536719888839,0.0,660
2018-12-07 14:06:00,11.999850000000151,719.9910000000091,3.12558,-5.99956,-3.89087,-1.29973,0.016663333333336697,-1.1997263401222373,0.0,720
2018-12-07 14:07:00,12.99995000000005,779.997000000003,3.07552,-5.99956,-3.78571,-1.39971,0.01666833333333165,-1.2997290060555606,0.0,780
2018-12-07 14:08:00,13.999933333333562,839.9960000000137,3.02597,-5.997,-3.47023,-1.4997,0.016666388888891864,-1.399677340222245,0.0,840
2018-12-07 14:09:00,14.999883333333612,899.9930000000168,2.97725,-5.99956,-3.36507,-1.59968,0.016665833333334174,-1.4996650072555835,0.0,900
2018-12-07 14:10:00,15.99995000000005,959.997000000003,2.92837,-5.99956,-3.15476,-1.69965,0.01666777777777396,-1.599664340100005,0.0,960
2018-12-07 14:11:00,16.99995000000005,1019.997000000003,2.87966,-5.99956,-2.83928,-1.79963,0.016666666666666666,-1.6996570067666716,0.0,1020
2018-12-07 14:12:00,17.99986666666664,1079.9919999999984,2.82875,-5.997,-2.62896,-1.89961,0.016665277777776485,-1.7995986775999973,0.0,1080
2018-12-07 14:12:32,18.543900000000335,1112.63400000002,2.79993,-5.997,-2.5238,-1.95394,0.009067222222228237,-1.8539748092666999,0.0,1113
2018-12-07 14:13:32,19.54401666666672,1172.6410000000033,3.39894,0.0,-1.68254,0.0,0.016668611111106454,-1.8539748092666999,0.0,1173
2018-12-07 14:14:32,20.544033333333694,1232.6420000000217,3.47159,0.0,0.21032,0.0,0.016666944444449553,-1.8539748092666999,0.0,1233
