Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah],Time_diff,Cumulative_Capacity_Ah,SOC [-],Rounded_Time
2018-12-08 06:34:07,0.0,0.0,4.18514,-0.04597,-9.99006,-0.0,0.0,0.0,1.0083351624302452,0
2018-12-08 06:34:08,0.009983333333366318,0.5990000000019791,4.17419,-0.09706,-9.99006,-2e-05,2.8055555556218476e-05,-1.5365755555609376e-05,0.9999949045646952,1
2018-12-08 06:34:09,0.026650000000032984,1.599000000001979,4.16711,-0.09706,-9.99006,-4e-05,2.8055555556218476e-05,-4.204668888894254e-05,0.9999844869235237,2
2018-12-08 06:34:09,0.041700000000006794,2.5020000000004075,4.16424,-0.09706,-9.99006,-7e-05,2.8333333333042295e-05,-6.625319444445319e-05,0.9999750354292396,3
2018-12-08 06:34:10,0.05835000000006403,3.5010000000038417,4.14553,-0.22731,-9.99006,-0.00011,2.8333333333042295e-05,-0.00011208710833344212,0.9999571394560212,4
2018-12-08 06:34:12,0.07666666666664242,4.599999999998545,4.068,-0.74069,-9.99006,-0.00027,2.8333333333042295e-05,-0.00027032168888805247,0.9998953563444435,5
2018-12-08 06:34:13,0.09335000000003978,5.6010000000023865,3.96433,-1.46605,-9.99006,-0.0006,2.8333333333042295e-05,-0.0006011248277776976,0.9997661933816538,6
2018-12-08 06:34:13,0.10835000000006403,6.501000000003842,3.88106,-2.19141,-9.99006,-0.00107,2.8333333333042295e-05,-0.0010706204972232992,0.9995828775525292,7
2018-12-08 06:34:15,0.12666666666664242,7.599999999998545,3.801,-2.96274,-9.99006,-0.00187,2.8333333333042295e-05,-0.00187241297499693,0.9992698155534219,8
2018-12-08 06:34:16,0.14335000000003978,8.601000000002387,3.76611,-3.26157,-9.99006,-0.00274,2.8055555556218476e-05,-0.0027475971472222236,0.9989280975725989,9
2018-12-08 06:34:16,0.15836666666667346,9.502000000000407,3.76442,-3.17729,-9.99006,-0.00355,2.8055555554197377e-05,-0.0035516893194426696,0.9986141376516966,10
2018-12-08 06:34:18,0.17665000000003298,10.599000000001979,3.73594,-3.46335,-9.99006,-0.00457,2.8055555556218476e-05,-0.004568021402777467,0.9982173080946906,11
2018-12-08 06:34:19,0.19333333333330907,11.599999999998545,3.6975,-3.88988,-9.99006,-0.0056,2.8333333333042295e-05,-0.005604451983329092,0.9978126310261498,12
2018-12-08 06:34:20,0.21001666666670643,12.601000000002387,3.71537,-3.55018,-9.99006,-0.00662,2.8611111111887213e-05,-0.0066278368361112165,0.9974130476966108,13
2018-12-08 06:34:21,0.226650000000033,13.599000000001979,3.76543,-2.85292,-9.99006,-0.00749,2.8055555556218476e-05,-0.007490996316666797,0.9970760247885366,14
2018-12-08 06:34:22,0.24331666666669965,14.599000000001979,3.81785,-2.2195,-9.99006,-0.00818,2.8055555556218476e-05,-0.008174331549999967,0.9968092147346415,15
2018-12-08 06:34:23,0.2599666666667569,15.598000000005413,3.79527,-2.50556,-9.99006,-0.00884,2.8055555556218476e-05,-0.008839634633335484,0.9965494453815296,16
2018-12-08 06:34:24,0.2766666666666424,16.599999999998545,3.78364,-2.61539,-9.99006,-0.00956,2.8333333333042295e-05,-0.009556198416663931,0.9962696611521745,17
2018-12-08 06:34:24,0.29168333333339735,17.50100000000384,3.82628,-2.07903,-9.99006,-0.01013,2.8055555556218476e-05,-0.0101330607972229,0.9960444237059853,18
2018-12-08 06:34:26,0.3099500000000262,18.59700000000157,3.80488,-2.35487,-9.99006,-0.01082,2.6944444444881002e-05,-0.010813906947221548,0.9957785855212783,19
2018-12-08 06:34:26,0.32505000000007084,19.50300000000425,3.81499,-2.21184,-9.99006,-0.01138,2.8611111111887213e-05,-0.011385651050000941,0.9955553465202204,20
2018-12-08 06:34:28,0.3433666666666492,20.601999999998952,3.80943,-2.27314,-9.99006,-0.01207,2.8611111109866114e-05,-0.012070915849997648,0.9952877830619045,21
2018-12-08 06:34:28,0.35833333333333334,21.5,3.82241,-2.10457,-9.99006,-0.01262,2.8055555554197377e-05,-0.01261377784999843,0.9950758211544647,22
2018-12-08 06:34:30,0.3766333333334236,22.598000000005413,3.81819,-2.15565,-9.99006,-0.01327,2.7777777779394657e-05,-0.01326443443333494,0.9948217705661164,23
2018-12-08 06:34:31,0.39170000000000676,23.502000000000407,3.83336,-1.9692,-9.99006,-0.01378,2.8611111109866114e-05,-0.013778687466665374,0.9946209791055775,24
2018-12-08 06:34:32,0.4100333333333159,24.601999999998952,3.87466,-1.53245,-9.99006,-0.01431,2.8333333333042295e-05,-0.014303151891664902,0.994416200580083,25
2018-12-08 06:34:33,0.42666666666664244,25.599999999998545,3.89961,-1.3128,-9.99006,-0.01469,2.8333333333042295e-05,-0.014689448916665026,0.9942653698823049,26
2018-12-08 06:34:34,0.4433833333333799,26.603000000002794,3.81212,-2.28846,-9.99006,-0.01522,2.916666666755595e-05,-0.015220974652777526,0.9940578342491615,27
2018-12-08 06:34:35,0.45995000000002617,27.59700000000157,3.88899,-1.36388,-9.99006,-0.0157,2.750000000054974e-05,-0.015693560388888063,0.9938733118953135,28
2018-12-08 06:34:36,0.4766833333333731,28.601000000002387,3.96737,-0.66917,-9.99006,-0.01596,2.8055555556218476e-05,-0.015953673824999504,0.9937717499144256,29
2018-12-08 06:34:36,0.49168333333339737,29.50100000000384,4.07302,0.17623,-9.8849,-0.01599,2.8333333333042295e-05,-0.015984643386111046,0.9937595156760066,30
