Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-12-26 04:48:38,0.0,4.18262,-0.04597,-19.98012,-0.0
2018-12-26 04:48:38,0.0016833333332518425,4.17688,-0.08173,-19.98012,-0.0
2018-12-26 04:48:38,0.0033666666666249513,4.17335,-0.09195,-19.98012,-0.0
2018-12-26 04:48:38,0.004983333333317811,4.17099,-0.0945,-19.98012,-1e-05
2018-12-26 04:48:38,0.006649999999960225,4.16913,-0.0945,-19.98012,-1e-05
2018-12-26 04:48:38,0.008349999999942763,4.16728,-0.0945,-19.98012,-1e-05
2018-12-26 04:48:38,0.010049999999925301,4.16542,-0.09706,-19.98012,-2e-05
2018-12-26 04:48:39,0.011633333333278036,4.16407,-0.0945,-19.98012,-2e-05
2018-12-26 04:48:39,0.013316666666651145,4.16256,-0.0945,-19.98012,-2e-05
2018-12-26 04:48:39,0.015033333333243111,4.16104,-0.0945,-19.98012,-2e-05
2018-12-26 04:48:39,0.016633333333326544,4.15969,-0.09706,-19.98012,-3e-05
2018-12-26 04:48:39,0.018316666666578385,4.15834,-0.09706,-19.98012,-3e-05
2018-12-26 04:48:39,0.020033333333291617,4.157,-0.0945,-19.98012,-3e-05
2018-12-26 04:48:39,0.021716666666664726,4.15565,-0.0945,-19.98012,-3e-05
2018-12-26 04:48:39,0.023316666666626892,4.15447,-0.09706,-19.98012,-4e-05
2018-12-26 04:48:39,0.02501666666660943,4.15329,-0.0945,-19.98012,-4e-05
2018-12-26 04:48:39,0.026683333333251843,4.15211,-0.0945,-19.98012,-4e-05
2018-12-26 04:48:40,0.028383333333355645,4.1511,-0.0945,-19.98012,-4e-05
2018-12-26 04:48:40,0.030016666666657935,4.14992,-0.0945,-19.98012,-5e-05
2018-12-26 04:48:40,0.03168333333330035,4.1489,-0.09706,-19.98012,-5e-05
2018-12-26 04:48:40,0.03340000000001358,4.14772,-0.09706,-19.98012,-5e-05
2018-12-26 04:48:40,0.03501666666658518,4.14688,-0.09706,-19.98012,-6e-05
2018-12-26 04:48:40,0.036683333333348854,4.14587,-0.0945,-19.98012,-6e-05
2018-12-26 04:48:40,0.03831666666665114,4.14486,-0.0945,-19.98012,-6e-05
2018-12-26 04:48:40,0.04003333333324311,4.14402,-0.0945,-19.98012,-6e-05
2018-12-26 04:48:40,0.041666666666666664,4.14317,-0.09706,-19.98012,-7e-05
2018-12-26 04:48:40,0.04334999999991851,4.14233,-0.0945,-19.98012,-7e-05
2018-12-26 04:48:41,0.045050000000022315,4.14149,-0.0945,-19.98012,-7e-05
2018-12-26 04:48:41,0.04675000000000485,4.14064,-0.0945,-19.98012,-7e-05
2018-12-26 04:48:41,0.04834999999996702,4.1398,-0.0945,-19.98012,-8e-05
2018-12-26 04:48:41,0.05004999999994955,4.13913,-0.0945,-19.98012,-8e-05
2018-12-26 04:48:41,0.05168333333325184,4.13845,-0.09706,-19.98012,-8e-05
2018-12-26 04:48:41,0.05333333333328483,4.13761,-0.0945,-19.98012,-8e-05
2018-12-26 04:48:41,0.055016666666657936,4.13694,-0.0945,-19.98012,-9e-05
2018-12-26 04:48:41,0.056733333333249904,4.13643,-0.09706,-19.98012,-9e-05
2018-12-26 04:48:41,0.05834999999994276,4.13559,-0.0945,-19.98012,-9e-05
2018-12-26 04:48:41,0.06003333333331587,4.13508,-0.0945,-19.98012,-9e-05
2018-12-26 04:48:42,0.06165000000000873,4.13441,-0.0945,-19.98012,-0.0001
2018-12-26 04:48:42,0.06331666666665114,4.13373,-0.0945,-19.98012,-0.0001
2018-12-26 04:48:42,0.06504999999997381,4.13323,-0.09706,-19.98012,-0.0001
2018-12-26 04:48:42,0.06666666666666667,4.13272,-0.09706,-19.98012,-0.00011
2018-12-26 04:48:42,0.0683499999999185,4.13222,-0.0945,-19.98012,-0.00011
2018-12-26 04:48:42,0.07005000000002232,4.13154,-0.0945,-19.98012,-0.00011
2018-12-26 04:48:42,0.07166666666659391,4.13104,-0.0945,-19.98012,-0.00011
2018-12-26 04:48:42,0.07333333333323631,4.1307,-0.09706,-19.98012,-0.00012
2018-12-26 04:48:42,0.07503333333334013,4.13003,-0.0945,-19.98012,-0.00012
2018-12-26 04:48:42,0.07663333333330229,4.12969,-0.0945,-19.98012,-0.00012
2018-12-26 04:48:43,0.0783166666666754,4.12918,-0.09706,-19.98012,-0.00012
2018-12-26 04:48:43,0.08003333333326737,4.12885,-0.0945,-19.98012,-0.00013
2018-12-26 04:48:43,0.08164999999996023,4.12834,-0.0945,-19.98012,-0.00013
2018-12-26 04:48:43,0.08333333333333333,4.128,-0.09706,-19.98012,-0.00013
2018-12-26 04:48:43,0.08503333333331588,4.1275,-0.0945,-19.98012,-0.00013
