Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-12-24 02:18:36,0.0,0.0,3.22689,-5.99956,-17.66663,-0.09998
2018-12-24 02:19:36,1.0,60.0,3.36224,-5.997,-15.87894,-0.19995
2018-12-24 02:20:36,1.9999833333335117,119.99900000001071,3.39882,-5.99956,-15.03767,-0.29994
2018-12-24 02:21:36,2.9999666666665386,179.99799999999232,3.39123,-5.99956,-14.51188,-0.39992
2018-12-24 02:22:36,4.0000333333334614,240.00200000000768,3.35735,-5.99956,-14.1964,-0.4999
2018-12-24 02:23:36,5.000016666666488,300.0009999999893,3.30645,-5.99956,-13.77577,-0.59987
2018-12-24 02:24:36,6.000016666666488,360.0009999999893,3.24577,-5.99956,-13.56545,-0.69985
2018-12-24 02:25:36,6.999983333333512,419.9990000000107,3.17902,-5.99956,-13.35513,-0.79983
2018-12-24 02:26:36,8.00003333333346,480.0020000000077,3.10974,-5.997,-13.03966,-0.89981
2018-12-24 02:27:36,9.00003333333346,540.0020000000077,3.03844,-5.99956,-12.82934,-0.99979
2018-12-24 02:28:36,10.00003333333346,600.0020000000077,2.96697,-5.99956,-12.40871,-1.09977
2018-12-24 02:29:36,10.999983333333512,659.9990000000107,2.89432,-5.99956,-12.19839,-1.19975
2018-12-24 02:30:36,11.99995000000005,719.997000000003,2.81662,-5.99956,-11.77776,-1.29973
2018-12-24 02:30:48,12.202016666666411,732.1209999999846,2.79993,-5.99956,-11.77776,-1.31989
2018-12-24 02:31:48,13.202033333333384,792.122000000003,3.51845,0.0,-10.51585,-0.00017
2018-12-24 02:32:48,14.202116666666795,852.1270000000077,3.59514,0.0,-7.88689,-0.00017
2018-12-24 02:33:48,15.202049999999872,912.1229999999923,3.62785,0.0,-5.15277,-0.00017
2018-12-24 02:34:48,16.20209999999982,972.1259999999893,3.64622,0.0,-2.41865,-0.00017
2018-12-24 02:35:48,17.202049999999872,1032.1229999999923,3.6592,0.0,0.52579,-0.00017
2018-12-24 02:36:48,18.202066666666845,1092.1240000000107,3.66999,0.0,3.0496,-0.00017
2018-12-24 02:37:48,19.20209999999982,1152.1259999999893,3.6801,0.0,5.46824,-0.00017
2018-12-24 02:38:48,20.202116666666793,1212.1270000000077,3.69089,0.0,8.51784,-0.00017
2018-12-24 02:39:48,21.202116666666793,1272.1270000000077,3.70269,0.0,11.35712,-0.00017
2018-12-24 02:40:48,22.20209999999982,1332.1259999999893,3.71398,0.0,14.40672,-0.00017
2018-12-24 02:41:48,23.202033333333382,1392.122000000003,3.72393,0.0,17.246,-0.00017
2018-12-24 02:42:48,24.202066666666845,1452.1240000000107,3.73252,0.0,19.66465,-0.00017
2018-12-24 02:43:48,25.202066666666845,1512.1240000000107,3.73944,0.0,21.03171,-0.00017
2018-12-24 02:44:48,26.20209999999982,1572.1259999999893,3.74584,0.0,21.13686,-0.00017
2018-12-24 02:45:48,27.20218333333323,1632.130999999994,3.75124,0.0,20.71623,-0.00017
2018-12-24 02:46:48,28.202083333333334,1692.125,3.75511,0.0,20.82139,-0.00017
2018-12-24 02:47:48,29.202116666666793,1752.1270000000077,3.75781,0.0,21.87297,-0.00017
2018-12-24 02:48:48,30.20209999999982,1812.1259999999893,3.75983,0.0,23.13488,-0.00017
2018-12-24 02:49:48,31.202133333333283,1872.127999999997,3.76118,0.0,23.66067,-0.00017
2018-12-24 02:50:48,32.20203333333338,1932.122000000003,3.76253,0.0,23.24004,-0.00017
2018-12-24 02:51:48,33.202066666666845,1992.1240000000107,3.76354,0.0,22.60908,-0.00017
2018-12-24 02:52:48,34.202066666666845,2052.1240000000107,3.76438,0.0,22.18845,-0.00017
2018-12-24 02:53:48,35.202099999999824,2112.1259999999893,3.76489,0.0,22.39877,-0.00017
2018-12-24 02:54:48,36.202099999999824,2172.1259999999893,3.76556,0.0,23.34519,-0.00017
2018-12-24 02:55:48,37.202083333333334,2232.125,3.7659,0.0,24.0813,-0.00017
2018-12-24 02:56:48,38.202066666666845,2292.1240000000107,3.76641,0.0,23.97615,-0.00017
2018-12-24 02:57:48,39.202083333333334,2352.125,3.76674,0.0,23.55551,-0.00017
2018-12-24 02:58:48,40.202083333333334,2412.125,3.76691,0.0,23.02972,-0.00017
2018-12-24 02:59:48,41.20201666666641,2472.1209999999846,3.76708,0.0,22.8194,-0.00017
2018-12-24 03:00:48,42.20204999999987,2532.1229999999923,3.76725,0.0,23.13488,-0.00017
2018-12-24 03:01:48,43.202099999999824,2592.1259999999893,3.76742,0.0,23.55551,-0.00017
