Timestamp,Time [min],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-11-14 16:35:16,0.0,3.37972,0.0,10.72617,0.0
2018-11-14 16:36:16,1.0,3.38006,0.0,13.67061,0.0
2018-11-14 16:37:16,1.9999666666667204,3.38006,0.0,16.93052,0.0
2018-11-14 16:38:16,3.0000666666666804,3.37989,0.0,19.87496,0.0
2018-11-14 16:39:16,4.00003333333334,3.37989,0.0,21.66266,0.0
2018-11-14 16:40:16,5.00003333333334,3.38006,0.0,21.87297,0.0
2018-11-14 16:41:16,6.0,3.38056,0.0,21.45234,0.0
2018-11-14 16:42:16,7.00001666666667,3.38107,0.0,21.45234,0.0
2018-11-14 16:43:16,8.0,3.38174,0.0,21.97813,0.0
2018-11-14 16:44:16,8.99998333333333,3.38225,0.0,22.8194,0.0
2018-11-14 16:45:16,9.99996666666672,3.38258,0.0,23.24004,0.0
2018-11-14 16:46:16,11.0,3.38309,0.0,23.34519,0.0
2018-11-14 16:47:16,11.99996666666672,3.3836,0.0,23.13488,0.0
2018-11-14 16:48:16,12.99998333333333,3.38393,0.0,23.13488,0.0
2018-11-14 16:49:16,13.99998333333333,3.38444,0.0,23.13488,0.0
2018-11-14 16:50:16,15.00005000000001,3.38494,0.0,23.24004,0.0
2018-11-14 16:51:16,16.00005000000001,3.38528,0.0,23.45035,0.0
2018-11-14 16:52:16,17.0,3.38562,0.0,23.55551,0.0
2018-11-14 16:53:16,17.99998333333333,3.38596,0.0,23.45035,0.0
2018-11-14 16:54:16,19.0,3.38629,0.0,23.55551,0.0
2018-11-14 16:55:16,19.99996666666672,3.38646,0.0,23.55551,0.0
2018-11-14 16:56:16,21.0,3.3868,0.0,23.55551,0.0
2018-11-14 16:57:16,22.0,3.38714,0.0,23.55551,0.0
2018-11-14 16:58:16,23.00003333333334,3.3873,0.0,23.55551,0.0
2018-11-14 16:59:16,24.0,3.38764,0.0,23.55551,0.0
2018-11-14 17:00:16,24.99996666666672,3.38781,0.0,23.55551,0.0
2018-11-14 17:01:16,26.00003333333334,3.38798,0.0,23.66067,0.0
2018-11-14 17:02:16,27.0,3.38832,0.0,23.55551,0.0
2018-11-14 17:03:16,28.0,3.38848,0.0,23.55551,0.0
2018-11-14 17:04:16,29.00001666666667,3.38865,0.0,23.55551,0.0
2018-11-14 17:05:16,29.99996666666672,3.38882,0.0,23.66067,0.0
2018-11-14 17:06:16,31.00003333333334,3.38899,0.0,23.66067,0.0
2018-11-14 17:07:16,32.00006666666668,3.38916,0.0,23.76583,0.0
2018-11-14 17:08:16,32.99998333333333,3.3895,0.0,23.66067,0.0
2018-11-14 17:09:16,33.99998333333333,3.38966,0.0,23.66067,0.0
2018-11-14 17:10:16,35.00001666666667,3.38966,0.0,23.66067,0.0
2018-11-14 17:11:16,36.00001666666667,3.38983,0.0,23.66067,0.0
2018-11-14 17:12:16,37.0,3.39,0.0,23.66067,0.0
2018-11-14 17:13:16,37.99996666666672,3.39017,0.0,23.76583,0.0
2018-11-14 17:14:16,39.00006666666668,3.39034,0.0,23.66067,0.0
2018-11-14 17:15:16,40.0,3.39051,0.0,23.66067,0.0
2018-11-14 17:16:16,41.00003333333334,3.39068,0.0,23.66067,0.0
2018-11-14 17:17:16,42.0,3.39068,0.0,23.66067,0.0
2018-11-14 17:18:16,43.00005000000001,3.39084,0.0,23.66067,0.0
2018-11-14 17:19:16,44.0,3.39101,0.0,23.66067,0.0
2018-11-14 17:20:16,44.99996666666672,3.39118,0.0,23.66067,0.0
2018-11-14 17:21:16,45.99998333333333,3.39118,0.0,23.76583,0.0
2018-11-14 17:22:16,47.00001666666667,3.39135,0.0,23.76583,0.0
2018-11-14 17:23:16,48.00005000000001,3.39152,0.0,23.76583,0.0
2018-11-14 17:24:16,48.99998333333333,3.39152,0.0,23.76583,0.0
2018-11-14 17:25:16,50.0,3.39169,0.0,23.66067,0.0
2018-11-14 17:26:16,51.00003333333334,3.39169,0.0,23.76583,0.0
2018-11-14 17:27:16,52.0,3.39186,0.0,23.66067,0.0
2018-11-14 17:28:16,53.00003333333334,3.39202,0.0,23.76583,0.0
2018-11-14 17:29:16,53.99998333333333,3.39219,0.0,23.66067,0.0
2018-11-14 17:30:16,55.00001666666667,3.39219,0.0,23.66067,0.0
2018-11-14 17:31:16,56.0,3.39236,0.0,23.76583,0.0
2018-11-14 17:32:16,56.99998333333333,3.39236,0.0,23.76583,0.0
2018-11-14 17:33:16,58.0,3.39253,0.0,23.66067,0.0
2018-11-14 17:34:16,58.99996666666672,3.39253,0.0,23.76583,0.0
2018-11-14 17:34:16,59.00006666666668,3.39253,0.0,23.76583,0.0
2018-11-14 17:35:16,60.00010000000002,3.56227,2.99853,23.76583,0.04998
2018-11-14 17:36:16,61.00015000000003,3.59177,2.99853,23.87099,0.09996
2018-11-14 17:37:16,62.00008333333335,3.61807,2.99853,23.97615,0.14993
2018-11-14 17:38:16,63.00011666666669,3.64066,2.99853,24.0813,0.19991
2018-11-14 17:39:16,64.0001666666667,3.66122,2.99853,24.0813,0.24988
2018-11-14 17:40:16,65.0001666666667,3.67943,2.99853,24.18646,0.29986
2018-11-14 17:41:16,66.00015000000003,3.69443,3.00108,24.29162,0.34984
2018-11-14 17:42:16,67.00010000000002,3.7069,2.99853,24.29162,0.39982
2018-11-14 17:43:16,68.00008333333335,3.71921,2.99853,24.39678,0.4498
2018-11-14 17:44:16,69.00010000000002,3.73219,3.00108,24.39678,0.49977
2018-11-14 17:45:16,70.00015000000003,3.74601,2.99853,24.29162,0.54975
2018-11-14 17:46:16,71.00011666666668,3.76017,2.99853,24.39678,0.59972
2018-11-14 17:47:16,72.00013333333337,3.77382,2.99853,24.39678,0.6497
