Timestamp,Time [min],Time [s],Voltage [V],Current [A],Temperature [degC],Capacity [Ah]
2018-11-08 07:11:34,0.0,0.0,4.18818,-0.05108,23.87099,0.0
2018-11-08 07:11:34,0.0016666666667636794,0.10000000000582077,4.18734,-0.07918,23.87099,-0.0
2018-11-08 07:11:35,0.003316666666675398,0.19900000000052387,4.187,-0.08939,23.87099,-0.0
2018-11-08 07:11:35,0.005033333333388631,0.30200000000331784,4.18683,-0.09195,23.87099,-1e-05
2018-11-08 07:11:35,0.006650000000081491,0.39900000000488944,4.18683,-0.09195,23.87099,-1e-05
2018-11-08 07:11:35,0.008350000000064028,0.5010000000038417,4.18683,-0.09195,23.87099,-1e-05
2018-11-08 07:11:35,0.010016666666706442,0.6010000000023865,4.18666,-0.0945,23.87099,-1e-05
2018-11-08 07:11:35,0.011683333333348856,0.7010000000009313,4.18666,-0.0945,23.87099,-2e-05
2018-11-08 07:11:35,0.01333333333338184,0.8000000000029104,4.18666,-0.09195,23.87099,-2e-05
2018-11-08 07:11:35,0.014983333333414823,0.8990000000048894,4.18666,-0.0945,23.87099,-2e-05
2018-11-08 07:11:35,0.016666666666666666,1.0,4.18666,-0.0945,23.87099,-2e-05
2018-11-08 07:11:35,0.018350000000039775,1.1010000000023865,4.18666,-0.0945,23.87099,-3e-05
2018-11-08 07:11:36,0.020033333333412884,1.202000000004773,4.18666,-0.0945,23.87099,-3e-05
2018-11-08 07:11:36,0.021700000000055297,1.3020000000033178,4.18666,-0.0945,23.87099,-3e-05
2018-11-08 07:11:36,0.023350000000088283,1.401000000005297,4.18649,-0.09195,23.87099,-3e-05
2018-11-08 07:11:36,0.025016666666730695,1.5010000000038417,4.18649,-0.0945,23.87099,-4e-05
2018-11-08 07:11:36,0.026683333333373107,1.6010000000023865,4.18649,-0.0945,23.87099,-4e-05
2018-11-08 07:11:36,0.028333333333406093,1.7000000000043656,4.18649,-0.0945,23.87099,-4e-05
2018-11-08 07:11:36,0.029983333333317812,1.7989999999990687,4.18649,-0.09195,23.87099,-5e-05
2018-11-08 07:11:36,0.03166666666669092,1.9000000000014552,4.18649,-0.0945,23.87099,-5e-05
2018-11-08 07:11:36,0.033366666666673456,2.0020000000004075,4.18649,-0.0945,23.97615,-5e-05
2018-11-08 07:11:36,0.03501666666670644,2.1010000000023865,4.18649,-0.0945,23.97615,-5e-05
2018-11-08 07:11:37,0.036683333333348854,2.2010000000009313,4.18649,-0.0945,23.97615,-6e-05
2018-11-08 07:11:37,0.03833333333338184,2.3000000000029104,4.18649,-0.0945,23.97615,-6e-05
2018-11-08 07:11:37,0.039983333333414826,2.3990000000048894,4.18649,-0.09195,23.97615,-6e-05
2018-11-08 07:11:37,0.041666666666666664,2.5,4.18632,-0.09195,23.97615,-6e-05
2018-11-08 07:11:37,0.04336666666677047,2.602000000006228,4.18632,-0.0945,23.97615,-7e-05
2018-11-08 07:11:37,0.045016666666682185,2.7010000000009313,4.18632,-0.0945,23.97615,-7e-05
2018-11-08 07:11:37,0.04666666666671517,2.8000000000029104,4.18632,-0.09195,23.97615,-7e-05
2018-11-08 07:11:37,0.048366666666697714,2.9020000000018626,4.18632,-0.0945,23.97615,-7e-05
